land,rb,kreis,vb,gemeindename,_ars_gemeinde,kennzeichen,flaeche_km2,bev_geseamt,bev_maennl,bev_weibl,bev_pro_km2,plz,longitude,latitude,reisegebiet_name,urbanisierung_cat
Schleswig-Holstein,,Dithmarschen,Büsum-Wesselburen,"Wesselburen, Stadt",010515178127,Stadt,5.13,3415,1641,1774,666,25764,"8,920686","54,212159",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Büsum-Wesselburen,Wesselburener Deichhausen,010515178128,Kreisangehörige Gemeinde,5.07,104,50,54,21,25764,"8,937237","54,174947",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Büsum-Wesselburen,Wesselburenerkoog,010515178129,Kreisangehörige Gemeinde,21.89,178,94,84,8,25764,"8,876475","54,239438",Nordsee,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Büsum-Wesselburen,Westerdeichstrich,010515178132,Kreisangehörige Gemeinde,7.5,874,425,449,117,25761,"8,863517","54,162006",Nordsee,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Büsum-Wesselburen,Oesterwurth,010515178140,Kreisangehörige Gemeinde,14.19,248,135,113,17,25764,"8,991292","54,211016",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Herzogtum Lauenburg,"Geesthacht, Stadt","Geesthacht, Stadt",010530032032,Stadt,33.25,30688,15100,15588,923,21502,"10,371785","53,433626",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
Schleswig-Holstein,,Herzogtum Lauenburg,"Lauenburg/ Elbe, Stadt","Lauenburg/ Elbe, Stadt",010530083083,Stadt,9.56,11402,5711,5691,1193,21481,"10,554267","53,374189",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
Schleswig-Holstein,,Herzogtum Lauenburg,"Mölln, Stadt","Mölln, Stadt",010530090090,Stadt,25.05,19131,9115,10016,764,23879,"10,691022","53,629521",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
Schleswig-Holstein,,Herzogtum Lauenburg,"Ratzeburg, Stadt","Ratzeburg, Stadt",010530100100,Stadt,30.29,14525,6863,7662,480,23909,"10,774492","53,699024",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
Schleswig-Holstein,,Herzogtum Lauenburg,"Schwarzenbek, Stadt","Schwarzenbek, Stadt",010530116116,Stadt,11.55,16551,8161,8390,1433,21493,"10,477663","53,502645",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
